Time: 10/02/2014 00:07:06
Tick:114, Total waiting time : 160,   Total # of processes: 21,  ASPAverage Waiting Time: 13.166666666666666,  Finished P.: 18,   total respond time: 767,  Average response time: 42.61111,    Max length readylist: 9
Tick:115, Total waiting time : 162,   Total # of processes: 21,  ASPAverage Waiting Time: 13.166666666666666,  Finished P.: 18,   total respond time: 767,  Average response time: 42.61111,    Max length readylist: 9
Tick:116, Total waiting time : 164,   Total # of processes: 21,  ASPAverage Waiting Time: 13.166666666666666,  Finished P.: 18,   total respond time: 767,  Average response time: 42.61111,    Max length readylist: 9
Tick:117, Total waiting time : 165,   Total # of processes: 21,  ASPAverage Waiting Time: 16.42105263157895,   Finished P.: 19,   total respond time: 926,  Average response time: 48.736843,   Max length readylist: 9
Tick:118, Total waiting time : 94,    Total # of processes: 21,  ASPAverage Waiting Time: 16.42105263157895,   Finished P.: 19,   total respond time: 926,  Average response time: 48.736843,   Max length readylist: 9
Tick:119, Total waiting time : 95,    Total # of processes: 21,  ASPAverage Waiting Time: 16.42105263157895,   Finished P.: 19,   total respond time: 926,  Average response time: 48.736843,   Max length readylist: 9
Tick:120, Total waiting time : 96,    Total # of processes: 21,  ASPAverage Waiting Time: 16.42105263157895,   Finished P.: 19,   total respond time: 926,  Average response time: 48.736843,   Max length readylist: 9
Tick:121, Total waiting time : 97,    Total # of processes: 21,  ASPAverage Waiting Time: 16.42105263157895,   Finished P.: 19,   total respond time: 926,  Average response time: 48.736843,   Max length readylist: 9
Tick:122, Total waiting time : 98,    Total # of processes: 21,  ASPAverage Waiting Time: 16.42105263157895,   Finished P.: 19,   total respond time: 926,  Average response time: 48.736843,   Max length readylist: 9
Tick:123, Total waiting time : 99,    Total # of processes: 21,  ASPAverage Waiting Time: 16.42105263157895,   Finished P.: 19,   total respond time: 926,  Average response time: 48.736843,   Max length readylist: 9
Tick:124, Total waiting time : 100,   Total # of processes: 21,  ASPAverage Waiting Time: 16.42105263157895,   Finished P.: 19,   total respond time: 926,  Average response time: 48.736843,   Max length readylist: 9
Tick:125, Total waiting time : 101,   Total # of processes: 21,  ASPAverage Waiting Time: 16.42105263157895,   Finished P.: 19,   total respond time: 926,  Average response time: 48.736843,   Max length readylist: 9
Tick:126, Total waiting time : 102,   Total # of processes: 21,  ASPAverage Waiting Time: 16.42105263157895,   Finished P.: 19,   total respond time: 926,  Average response time: 48.736843,   Max length readylist: 9
Tick:127, Total waiting time : 103,   Total # of processes: 21,  ASPAverage Waiting Time: 16.42105263157895,   Finished P.: 19,   total respond time: 926,  Average response time: 48.736843,   Max length readylist: 9
Tick:128, Total waiting time : 104,   Total # of processes: 21,  ASPAverage Waiting Time: 16.42105263157895,   Finished P.: 19,   total respond time: 926,  Average response time: 48.736843,   Max length readylist: 9
Tick:129, Total waiting time : 105,   Total # of processes: 21,  ASPAverage Waiting Time: 16.42105263157895,   Finished P.: 19,   total respond time: 926,  Average response time: 48.736843,   Max length readylist: 9
Tick:130, Total waiting time : 106,   Total # of processes: 21,  ASPAverage Waiting Time: 16.42105263157895,   Finished P.: 19,   total respond time: 926,  Average response time: 48.736843,   Max length readylist: 9
Tick:131, Total waiting time : 106,   Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:132, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:133, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:134, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:135, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:136, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:137, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:138, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:139, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:140, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:141, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:142, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:143, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:144, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:145, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 19.2,                Finished P.: 20,   total respond time: 1118, Average response time: 55.9,        Max length readylist: 9
Tick:146, Total waiting time : 0,     Total # of processes: 21,  ASPAverage Waiting Time: 23.333333333333332,  Finished P.: 21,   total respond time: 1239, Average response time: 59.0,        Max length readylist: 9
